,Name,Address,twd97E,twd97N,wgs84X,wgs84Y,類別,大類別,type
706,亞太科技園區,大同路三段422號同向(向北),318883.2318,2773993.404,121.682809,25.072605,公車站,交通便利設施,blue
707,保長坑,大同路三段324號同向(向西),318518.86,2773845.906,121.67919,25.07129,公車站,交通便利設施,blue
708,崇義高中,大同路三段89號同向(向西),317348.3434,2774509.13,121.6676204,25.07733,公車站,交通便利設施,blue
709,國泰醫院,地標同向(向西),317061.857,2773880.757,121.66475,25.07167,公車站,交通便利設施,blue
710,汐止,大同路二段535號同向(向東),316754.4075,2773603.061,121.6616891,25.06917666,公車站,交通便利設施,blue
711,汐止公園,大同路二段462號(向西),316576.6658,2773450.807,121.65992,25.06781,公車站,交通便利設施,blue
712,汐科站南站,大同路二段19號同向(向西),315277.2992,2772906.789,121.6470153,25.06295544,公車站,交通便利設施,blue
713,昊天嶺,大同路一段505號(向西),315035.5893,2772808.552,121.644615,25.062079,公車站,交通便利設施,blue
714,樟樹灣,大同路一段327號同向(向西),314384.8239,2772485.452,121.63815,25.05919,公車站,交通便利設施,blue
715,南樟樹灣,大同路一段225號(向西),313980.0752,2772301.887,121.63413,25.05755,公車站,交通便利設施,blue
716,天良電視台,大同路一段151號(向西),313783.556,2772156.801,121.6321756,25.0562485,公車站,交通便利設施,blue
717,橫科,大同路一段4號對向(向西),312688.8432,2772022.295,121.62132,25.05508,公車站,交通便利設施,blue
718,南港展覽館,南港路一段75號對面(向西),312111.5714,2772048.456,121.6156,25.05534,公車站,交通便利設施,blue
719,園區街,園區街33號對向(向西),311813.539,2772461.152,121.6126648,25.05907795,公車站,交通便利設施,blue
720,鄉長路一段,鄉長路一段21號(向南),317089.7628,2774157.625,121.6650401,25.07416824,公車站,交通便利設施,blue
721,崇義高中(忠孝東路),汐止區忠孝東路517號東側(向南),317275.996,2774336.08,121.6668948,25.07577099,公車站,交通便利設施,blue
722,橋東,忠孝東路476號同向(向南),317203.4534,2774095.795,121.666164,25.073605,公車站,交通便利設施,blue
723,摩登家庭社區,忠孝東路(向南),317181.6842,2773902.824,121.6659388,25.07186389,公車站,交通便利設施,blue
724,汐止後車站,忠孝東路295號同向(向西),317007.7646,2773555.491,121.664198,25.068736,公車站,交通便利設施,blue
725,秀峰高中(忠孝東路),忠孝東路225號右側(向南),316762.9511,2773277.698,121.661758,25.066239,公車站,交通便利設施,blue
726,汐止行政中心,地標同向(向西),316498.5995,2773114.793,121.65913,25.06478,公車站,交通便利設施,blue
727,汐止農會,新台五路二段220號同向(向西),316183.5855,2772953.309,121.656,25.063336,公車站,交通便利設施,blue
728,連興街口,新台五路一段141號同向(向西),315864.3512,2772807.653,121.652829,25.062035,公車站,交通便利設施,blue
729,東方科學園區,地標對向(向西),315500.5377,2772741.101,121.64922,25.06145,公車站,交通便利設施,blue
730,遠東世界中心,新台五路81號同向(向西),315191.4327,2772669.171,121.646153,25.060814,公車站,交通便利設施,blue
731,天良電視台,大同路一段151號(向西),313783.556,2772156.801,121.6321756,25.0562485,公車站,交通便利設施,blue
732,橫科,大同路一段4號對向(向西),312688.8432,2772022.295,121.62132,25.05508,公車站,交通便利設施,blue
733,捷運南港展覽館站(南港路),南港路23號同向(向西),312287.4465,2772027.391,121.6173421,25.05514259,公車站,交通便利設施,blue
734,南港軟體園區南站,三重路19-12號對向(向北),311962.6182,2772167.09,121.6141291,25.05641711,公車站,交通便利設施,blue
